protein,chainSize,population,generations,processingTime,resultSize,machineType
,12,100,200,31.9555,0.12,Local
,12,100,200,31.6719,0.15,Local
,12,100,200,30.2732,0.13,Local
,12,100,200,29.7408,0.12,Local
,12,100,200,28.5167,0.14,Local
,12,100,200,28.4084,0.12,Local
,12,100,200,28.2333,0.1,Local
,12,100,200,27.5523,0.14,Local
,12,100,200,26.3215,0.12,Local
,12,100,200,26.1436,0.12,Local
,12,100,200,26.0148,0.11,Cluster
,12,100,200,25.9132,0.12,Cluster
,12,100,200,25.7168,0.12,Cluster
,12,100,200,25.6595,0.11,Cluster
,12,100,200,25.5152,0.12,Cluster
,12,100,200,25.0278,0.13,Cluster
,12,100,200,24.9854,0.11,Cloud
,12,100,200,24.6133,0.15,Cloud
,12,100,200,24.5793,0.13,Cloud
,12,100,200,24.5002,0.14,Cloud
,12,100,300,45.3356,0.29,Local
,12,100,300,44.5807,0.27,Local
,12,100,300,44.5062,0.22,Local
,12,100,300,44.3975,0.21,Local
,12,100,300,43.6486,0.26,Local
,12,100,300,42.8091,0.28,Local
,12,100,300,42.7698,0.26,Local
,12,100,300,42.6020,0.28,Local
,12,100,300,42.6,0.29,Local
,12,100,300,42.5894,0.29,Local
,12,100,300,42.1013,0.23,Cluster
,12,100,300,42.1187,0.28,Cluster
,12,100,300,41.9733,0.26,Cluster
,12,100,300,41.8982,0.26,Cluster
,12,100,300,41.5679,0.26,Cluster
,12,100,300,41.5043,0.21,Cluster
,12,100,300,41.2137,0.27,Cloud
,12,100,300,40.8273,0.24,Cloud
,12,100,300,39.9143,0.26,Cloud
,12,100,300,39.0078,0.21,Cloud
,12,100,400,58.4845,0.32,Local
,12,100,400,58.4717,0.35,Local
,12,100,400,58.3727,0.38,Local
,12,100,400,58.2914,0.34,Local
,12,100,400,58.2462,0.32,Local
,12,100,400,58.1613,0.32,Local
,12,100,400,57.8289,0.34,Local
,12,100,400,57.6545,0.37,Local
,12,100,400,57.4632,0.38,Local
,12,100,400,57.42,0.35,Local
,12,100,400,56.9267,0.36,Cluster
,12,100,400,56.2093,0.36,Cluster
,12,100,400,56.0588,0.36,Cluster
,12,100,400,55.8229,0.37,Cluster
,12,100,400,55.7733,0.33,Cluster
,12,100,400,55.7921,0.34,Cluster
,12,100,400,55.5508,0.34,Cloud
,12,100,400,55.4806,0.32,Cloud
,12,100,400,55.3261,0.34,Cloud
,12,100,400,55.0384,0.34,Cloud
,12,200,400,114.3691,0.34,Local
,12,200,400,114.3681,0.33,Local
,12,200,400,113.9797,0.38,Local
,12,200,400,113.2728,0.38,Local
,12,200,400,111.9228,0.37,Local
,12,200,400,111.2747,0.32,Local
,12,200,400,109.7833,0.36,Local
,12,200,400,108.9465,0.33,Local
,12,200,400,107.0643,0.36,Local
,12,200,400,106.9949,0.36,Local
